"Description","Rooms","m_sq","Series","Price","Floor_nr","Max_floors","Hood","Street_a","Street"
"Dizainera veidota apdare, pilniba mebelets, stiligs 2-limenu man","3",77,"P. kara",175000,5,6,"Centrs","Sadovnikova 23","Sadovnikova"
"Ïðîäà¸òñÿ êà÷åñòâåííî è ñ ëþáîâüþ îòðåìîíòèðîâàííàÿ êâàðòèðà ñ ï","2",47,"LT proj.",65000,4,5,"Purvciems","Unijas 58A","Unijas"
"Õîðîøåå ðàñïîëîæåíèå. 



Êâàðòèðà, â êîòîðîé çèìîé òåïëî, à ëåò","2",50,"Specpr.",40999,2,5,"Vecmilgravis","Rinuzu 11","Rinuzu"
"Pardod studijas tipa dzivokli pilsetas cetra. 

Dzivoklis ar lab","1",34,"P. kara",45000,4,4,"Centrs","Cesu 30","Cesu"
"Pardod divu istabu dzivokli renoveta sesu stavu nama Lacplesa ie","2",59,"Renov.",103425,6,6,"Centrs","Lacplesa 13","Lacplesa"
"Pardod izremontetu tris istabu dzivokli renoveta nama Lacplesa i","3",83,"Renov.",190670,2,6,"Centrs","Lacplesa 13","Lacplesa"
"Pardod mebeletu piecu istabu dzivokli renoveta nama Lacplesa iel","5",129,"Renov.",237725,5,6,"Centrs","Lacplesa 13","Lacplesa"
"Pardod plasu, gaisu dzivokli Rigas klusaja centra kvalitativi re","2",72,"P. kara",185000,5,5,"Centrs","Rupniecibas 1","Rupniecibas"
"Ïðîäàåòñÿ ýêñêëþçèâíàÿ 5- òè êîìíàòíàÿ êâàðòèðà â ñàìîì öåíòðå,","5",150,"P. kara",295000,3,6,"Centrs","Lacplesa 70b","Lacplesa"
"Netalu no Kisezera, zalumu ieskauta rajona, Mezaparka tiek pieda","3",56,"Renov.",85000,1,5,"Mezaparks","Ezermalas 4A","Ezermalas"
"Pardod elegantu dzivokli blakus Vermanes darzam arhitektonisko s","4",104,"P. kara",305000,3,5,"Centrs","Terbatas 6","Terbatas"
"Tie pardots 1.5 istabu dzivoklis Bierinos, bet netalu no Agenska","2",28,"P. kara",17500,2,2,"Bierini","Raudas 6","Raudas"
"Pardodu dzivokli ar teicamu lokaciju, kas sastav no 1 istabas, k","1",28,"LT proj.",41000,5,5,"Purvciems","Zvaigznaja g. 9","Zvaigznaja"
